ratio,neighbor_count,precision_non_default,recall_non_default,precision_default,recall_default
0.8,10,0.9540372670807453,0.7770657672849915,0.21003884075291307,0.6129032258064516
0.8,11,0.9595937170450131,0.7288785834738617,0.19582343378767036,0.6826503923278117
0.8,12,0.9553291536050157,0.7708684654300169,0.20933954029677043,0.6272885789014822
0.8,13,0.9593343619131585,0.7339797639123102,0.19781337401474702,0.6782911944202267
0.8,14,0.9555788370874804,0.7690556492411467,0.20883882149046792,0.6303400174367916
0.8,15,0.9601166244911431,0.7357925801011804,0.20022970903522205,0.6839581517000872
0.8,16,0.9573180358928477,0.7668634064080945,0.21146442321403108,0.6464690496948562
0.8,17,0.9603650156670881,0.7365092748735245,0.2010737568707657,0.6857018308631212
0.8,18,0.9576414595452142,0.7634485666104553,0.21016328828828829,0.6508282476024412
0.8,19,0.9605190806114594,0.736424957841484,0.2013285641287685,0.6870095902353966
0.9,3,0.9561503076647351,0.6747754964374552,0.16830188679245284,0.6801742919389978
0.9,4,0.946848469256496,0.7758337198026898,0.19182246542027664,0.5498910675381263
0.9,5,0.9577198273313228,0.6828281124836629,0.1735691530264748,0.6884531590413944
0.9,6,0.9511397214014352,0.7599814494708883,0.19385443217218917,0.5965141612200435
0.9,7,0.9603576049876485,0.6883932712171676,0.17987128273413228,0.706318082788671
0.9,8,0.9558332435635032,0.7481765673089085,0.19803974221267454,0.6427015250544662
0.9,9,0.9614977662826241,0.6896159197268013,0.18218173739169075,0.7145969498910676
0.9,10,0.9567182055749129,0.7408828365445423,0.19618100967826316,0.6535947712418301
0.9,11,0.9630280658580888,0.6929465829082171,0.185984128758243,0.7250544662309368
0.9,12,0.9586926668497665,0.7358236013322653,0.19759252144960943,0.6723311546840959
0.9,13,0.9632657828651522,0.6953918799274843,0.18738049713193117,0.725925925925926
0.9,14,0.9603117572273506,0.7324507778574139,0.19904076738609114,0.6871459694989107
0.9,15,0.9636745897331075,0.6956870019815338,0.18816781014509054,0.7289760348583878
0.9,16,0.9608485588937635,0.7294573970234833,0.19857624578493818,0.6928104575163399
0.9,17,0.9640771028037384,0.6958556431552764,0.18889138745221498,0.7320261437908496
0.9,18,0.9611590972415714,0.7271807411779586,0.1980418887098773,0.6962962962962963
0.9,19,0.9639376787068915,0.6964458872633753,0.18891517404528557,0.730718954248366
1.0,3,0.9580001220926684,0.6621518987341772,0.16879476798505139,0.7026793431287813
1.0,4,0.9499527360571368,0.7632489451476793,0.19520940906483075,0.5881590319792567
1.0,5,0.9615174174721868,0.6673417721518987,0.17574490329325668,0.726447709593777
1.0,6,0.9539943710759905,0.7437130801687764,0.19421597240647387,0.6326707000864304
1.0,7,0.96394640682095,0.6678481012658228,0.1794871794871795,0.7441659464131374
1.0,8,0.9588866048113784,0.7282278481012658,0.19638178415470992,0.6802074330164217
1.0,9,0.9645031660983926,0.6683966244725739,0.1805005213764338,0.7480553154710458
1.0,10,0.9604312485888462,0.7179324894514768,0.19438418896119547,0.6970613656006914
1.0,11,0.9657421517829929,0.6684810126582279,0.1823290665001561,0.7571305099394987
1.0,12,0.9616283710587833,0.7116455696202532,0.19362831858407079,0.709161624891962
1.0,13,0.9667195896433806,0.6679746835443038,0.18354430379746836,0.7644770959377701
1.0,14,0.9627693191611606,0.7070464135021097,0.1935184109652689,0.7199654278305964
1.0,15,0.9679075738125802,0.6681012658227848,0.18529259451061625,0.7731201382886776
1.0,16,0.9651856571858889,0.7030379746835443,0.19574905725059993,0.740276577355229
1.0,17,0.9686262564727384,0.6708860759493671,0.18741535576622564,0.7774416594641314
1.0,18,0.9652927155397942,0.7005907172995781,0.19482582548507887,0.7420051858254105
1.0,19,0.9675810473815462,0.6712236286919832,0.18604408231484384,0.7696629213483146
